tweet_id,text,text_cleaned
119237,@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,applesupport caus repli disregard tap notif keyboard open
119238,"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",105835 busi mean lot u plea dm name zip code addit detail concern rr httpstcoznuu1vjn9r
119239,@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,76328 realli hope chang im sure wont dont
119240,"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",105836 livechat onlin moment httpstcosy94vtu8kq contact 03331 031 031 option 1 4 3 leav messag request call back
119241,@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,virgintrain see attach error messag ive tri leav voicemail sever time past week httpstconxvzjlyx1k
119243,"@105836 Have you tried from another device, Miriam ^MM",105836 tri anoth devic miriam mm
119244,"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",virgintrain yep ive tri laptop sever time past week today ive tri differ browser
119245,"@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM",105836 work ok miriam link help httpstco0m2mph15eh mm
119242,@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,virgintrain still havent heard amp number im direct phone dead end amp live chat doesnt work someon call
119246,@105836 That's what we're here for Miriam 😊  The team should send you an email shortly ^HP,105836 that miriam team send email shortli hp
119248,@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,105837 help version io find set gt gener gt repli dm httpstcogdrqu22ypt
119249,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",105838 applesupport suffer hope find solut
119250,"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",applesupport hi appl ive concern latest io slow iphone6 happi solut plea
119252,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,105839 thank reach u alway happi help send u dm look togeth httpstcogdrqu22ypt
119253,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,updat phone suddenli everyth take age load wtf 76099 updat sux hate fix bye
119254,"@105840 Hi there! What device is this happening on? If you could also let us know the Android and Spotify versions you're using, that'd be great /AY",105840 hi devic happen could also let u know android spotifi version your use thatd great ay
119255,@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,spotifycar thank version 8422857 armv7 anker bluetooth speaker samsung galaxi tab 2016 model smt280 distanc speaker matter
119257,@105840 Thanks. The distance could possibly affect playback. Does logging out &gt; restarting your device &gt; logging back in make a difference? /AY,105840 thank distanc could possibl affect playback log gt restart devic gt log back make differ ay
119258,"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!",spotifycar ive move speaker 1 metr away skip mo 3 4 metr away finger cross
119259,"@105840 That's great to hear. If anything comes up, just let us know. We'll carry on helping out 🙂 /AY",105840 that great hear anyth come let u know well carri help ay
119260,@SpotifyCares Brilliant thanks 😊,spotifycar brilliant thank
119261,"@105840 You're welcome! If there's anything else we can help with, just give us a shout. We're here for you 😉 /CP",105840 your welcom there anyth el help give u shout cp
119256,@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!,76495 91226 plea help spotifi premium skip song constantli android tablet amp bluetooth speaker tri everyth
119262,@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT,105841 wed love help plea dm u let u know step youv tri sinc experienc behavior httpstcogdrqu22ypt
119263,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",applesupport 1102 phone suck app broken wifi disconnect frequent appl ios1102 painfulupd
